CCAA,Acumulados,Ultimas 24h,Incidencia
AndalucÃ­a,6972,580,70.88
AragÃ³n,2700,209,183.36
Asturias,1384,62,106.77
Baleares,1204,73,90.04
Canarias,1444,64,56.84
Cantabria,1268,55,203.93
Castilla La Mancha,7682,635,338.49
Castilla y LeÃ³n,7355,508,270.34
CataluÃ±a,21804,1813,248.88
Ceuta,55,4,63.70
C. Valenciana,6308,386,107.66
Extremadura,1837,158,149.48
Galicia,4842,410,162.59
Madrid,32155,2315,380.86
Melilla,62,0,45.09
Murcia,1084,43,61.38
Navarra,2682,185,336.28
PaÃ­s Vasco,7317,479,277.52
La Rioja,2083,123,509.79
